,region,neighbourhood,longitude,latitude,room_type,price,number_of_reviews,booking_activity,log_reviews
5809,Southwest,Yan na wa,100.55098,13.71429,Entire home/apt,1732,0,275,0.0
5814,Southwest,Bang Khae,100.37914,13.70556,Private room,990,0,6,0.0
5815,Southwest,Bang Khae,100.37914,13.70555,Private room,990,1,1,0.6931471805599453
5822,Southwest,Yan na wa,100.53612,13.69931,Entire home/apt,1647,1,0,0.6931471805599453
5826,Southwest,Sathon,100.54193,13.7249,Private room,2632,0,0,0.0
5835,Southwest,Sathon,100.52615,13.7184,Entire home/apt,3414,27,305,3.332204510175204
5837,Southwest,Phasi Charoen,100.45107,13.71121,Entire home/apt,1000,32,94,3.4965075614664802
5839,Southwest,Sathon,100.52615,13.7184,Entire home/apt,3414,33,167,3.5263605246161616
5845,Southwest,Bang Khae,100.37911,13.70556,Private room,1190,0,0,0.0
5846,Southwest,Bang Khae,100.37911,13.70556,Private room,1150,0,0,0.0
5849,Southwest,Sathon,100.52885,13.70634,Entire home/apt,680,4,17,1.6094379124341003
5872,Southwest,Thon buri,100.49214,13.73757,Private room,2597,0,3,0.0
5875,Southwest,Bang Rak,100.52797,13.72641,Entire home/apt,2091,19,103,2.995732273553991
5882,Southwest,Phasi Charoen,100.45895,13.72072,Entire home/apt,700,0,275,0.0
5886,Southwest,Chom Thong,100.47815,13.70167,Entire home/apt,595,14,364,2.70805020110221
5894,Southwest,Bang Rak,100.53249,13.72641,Entire home/apt,1741,22,365,3.1354942159291497
5895,Southwest,Bang Rak,100.51685,13.71821,Shared room,650,2,184,1.0986122886681098
5908,Southwest,Rat Burana,100.48618,13.68812,Entire home/apt,4000,1,186,0.6931471805599453
5909,Southwest,Sathon,100.54726,13.72083,Entire home/apt,626,54,39,4.007333185232471
5911,Southwest,Phasi Charoen,100.45048,13.70856,Private room,800,22,279,3.1354942159291497
5914,Southwest,Sathon,100.54725,13.72083,Entire home/apt,750,94,9,4.553876891600541
5916,Southwest,Sathon,100.5276,13.70779,Entire home/apt,1357,58,211,4.07753744390572
5925,Southwest,Phasi Charoen,100.4211,13.73556,Entire home/apt,579,0,0,0.0
5929,Southwest,Bang Kho laen,100.51665,13.70038,Entire home/apt,688,6,57,1.9459101490553132
5949,Southwest,Bang Kho laen,100.51605,13.70169,Entire home/apt,1400,52,131,3.970291913552122
5955,Southwest,Sathon,100.54725,13.72084,Entire home/apt,836,121,13,4.804021044733257
5966,Southwest,Yan na wa,100.54715,13.67799,Entire home/apt,600,0,186,0.0
5974,Southwest,Yan na wa,100.538,13.70073,Entire home/apt,3428,0,184,0.0
